Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
165872,USB-C Charging Cable,1,11.95,04/17/20 12:47,"736 Lakeview St, New York City, NY 10001"
165873,Wired Headphones,1,11.99,04/30/20 10:50,"719 Spruce St, New York City, NY 10001"
165874,AA Batteries (4-pack),1,3.84,04/15/20 19:04,"908 Church St, Seattle, WA 98101"
165875,20in Monitor,1,109.99,04/15/20 15:41,"343 Wilson St, New York City, NY 10001"
165876,Lightning Charging Cable,1,14.95,04/25/20 17:48,"841 5th St, Los Angeles, CA 90001"
165877,Lightning Charging Cable,1,14.95,04/23/20 16:35,"731 Center St, New York City, NY 10001"
165878,34in Ultrawide Monitor,1,379.99,04/06/20 17:28,"797 14th St, Boston, MA 02215"
165879,iPhone,1,700.0,04/09/20 22:51,"720 Lakeview St, Los Angeles, CA 90001"
165879,Wired Headphones,1,11.99,04/09/20 22:51,"720 Lakeview St, Los Angeles, CA 90001"
165880,Wired Headphones,1,11.99,04/28/20 11:12,"300 Church St, Atlanta, GA 30301"
165881,Wired Headphones,1,11.99,04/06/20 00:27,"146 Pine St, Boston, MA 02215"
165882,Lightning Charging Cable,1,14.95,04/23/20 13:03,"247 Main St, San Francisco, CA 94016"
165883,AA Batteries (4-pack),1,3.84,04/23/20 14:00,"627 6th St, San Francisco, CA 94016"
165884,Macbook Pro Laptop,1,1700.0,04/18/20 12:21,"90 Ridge St, Austin, TX 73301"
165885,AAA Batteries (4-pack),1,2.99,04/21/20 02:39,"176 2nd St, Boston, MA 02215"
165886,LG Dryer,1,600.0,04/11/20 15:34,"744 Lakeview St, Portland, OR 97035"
165887,Lightning Charging Cable,1,14.95,04/17/20 12:02,"949 11th St, San Francisco, CA 94016"
165888,AA Batteries (4-pack),1,3.84,04/07/20 09:46,"968 5th St, Boston, MA 02215"
165889,ThinkPad Laptop,1,999.99,04/01/20 11:23,"392 12th St, Atlanta, GA 30301"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
