Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
226926,Lightning Charging Cable,1,14.95,08/03/20 17:10,"205 14th St, Austin, TX 73301"
226927,Lightning Charging Cable,1,14.95,08/25/20 21:31,"148 1st St, Austin, TX 73301"
226928,AA Batteries (4-pack),1,3.84,08/10/20 23:05,"808 Pine St, New York City, NY 10001"
226929,Apple Airpods Headphones,1,150.0,08/13/20 20:03,"109 Cherry St, San Francisco, CA 94016"
226930,USB-C Charging Cable,1,11.95,08/31/20 22:16,"605 Jackson St, San Francisco, CA 94016"
226931,Lightning Charging Cable,1,14.95,08/03/20 22:03,"61 Hill St, Atlanta, GA 30301"
226932,AA Batteries (4-pack),1,3.84,08/26/20 22:01,"873 Jefferson St, San Francisco, CA 94016"
226933,iPhone,1,700.0,08/13/20 23:43,"79 10th St, San Francisco, CA 94016"
226934,USB-C Charging Cable,1,11.95,08/28/20 12:26,"184 Washington St, Portland, OR 97035"
226935,Wired Headphones,1,11.99,08/12/20 20:10,"735 Maple St, Portland, ME 04101"
226936,27in FHD Monitor,1,149.99,08/01/20 05:36,"372 11th St, San Francisco, CA 94016"
226937,AA Batteries (4-pack),1,3.84,08/26/20 11:04,"722 Elm St, San Francisco, CA 94016"
226938,Apple Airpods Headphones,1,150.0,08/09/20 12:14,"785 Pine St, New York City, NY 10001"
226939,iPhone,1,700.0,08/06/20 16:19,"107 Jackson St, Los Angeles, CA 90001"
226939,Wired Headphones,1,11.99,08/06/20 16:19,"107 Jackson St, Los Angeles, CA 90001"
226940,Wired Headphones,2,11.99,08/22/20 21:51,"507 Adams St, New York City, NY 10001"
226941,AAA Batteries (4-pack),1,2.99,08/30/20 09:41,"703 Wilson St, Los Angeles, CA 90001"
226942,AAA Batteries (4-pack),1,2.99,08/27/20 19:34,"845 Highland St, Portland, OR 97035"
226943,USB-C Charging Cable,1,11.95,08/27/20 19:49,"517 7th St, Portland, ME 04101"
226944,AA Batteries (4-pack),1,3.84,08/24/20 15:50,"375 2nd St, Los Angeles, CA 90001"
226945,LG Dryer,1,600.0,08/04/20 19:16,"618 Madison St, Los Angeles, CA 90001"
226946,AAA Batteries (4-pack),1,2.99,08/25/20 21:40,"962 Spruce St, San Francisco, CA 94016"
226947,USB-C Charging Cable,1,11.95,08/28/20 10:35,"200 Lincoln St, Boston, MA 02215"
226948,AAA Batteries (4-pack),2,2.99,08/03/20 00:25,"862 Meadow St, Los Angeles, CA 90001"
226949,34in Ultrawide Monitor,1,379.99,08/29/20 09:30,"997 Church St, Austin, TX 73301"
