Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
144297,Flatscreen TV,1,300.0,02/28/20 02:49,"493 Forest St, Los Angeles, CA 90001"
144298,AA Batteries (4-pack),1,3.84,02/19/20 09:48,"150 1st St, Boston, MA 02215"
144299,Apple Airpods Headphones,1,150.0,02/22/20 15:22,"958 Highland St, Los Angeles, CA 90001"
144300,20in Monitor,1,109.99,02/08/20 14:03,"503 11th St, Austin, TX 73301"
144301,Lightning Charging Cable,1,14.95,02/06/20 16:18,"119 Hickory St, Atlanta, GA 30301"
144302,AAA Batteries (4-pack),2,2.99,02/05/20 23:24,"628 8th St, Austin, TX 73301"
144303,USB-C Charging Cable,1,11.95,02/17/20 12:39,"127 14th St, Los Angeles, CA 90001"
144304,USB-C Charging Cable,1,11.95,02/03/20 17:06,"438 Elm St, San Francisco, CA 94016"
144305,AA Batteries (4-pack),1,3.84,02/12/20 20:53,"940 West St, New York City, NY 10001"
144306,AAA Batteries (4-pack),2,2.99,02/11/20 18:57,"141 11th St, San Francisco, CA 94016"
144307,Wired Headphones,1,11.99,02/02/20 12:28,"82 12th St, Portland, OR 97035"
144308,34in Ultrawide Monitor,1,379.99,02/10/20 17:11,"68 Meadow St, Atlanta, GA 30301"
144308,AAA Batteries (4-pack),3,2.99,02/10/20 17:11,"68 Meadow St, Atlanta, GA 30301"
144309,Apple Airpods Headphones,1,150.0,02/16/20 11:30,"493 Forest St, Los Angeles, CA 90001"
144310,AA Batteries (4-pack),1,3.84,02/27/20 15:03,"251 Cedar St, Austin, TX 73301"
144311,Wired Headphones,1,11.99,02/18/20 10:22,"817 Cherry St, Dallas, TX 75001"
144312,Lightning Charging Cable,1,14.95,02/20/20 22:39,"526 13th St, Atlanta, GA 30301"
144313,Apple Airpods Headphones,1,150.0,02/06/20 15:40,"117 Spruce St, San Francisco, CA 94016"
144314,34in Ultrawide Monitor,1,379.99,02/27/20 10:06,"786 10th St, Seattle, WA 98101"
144315,Apple Airpods Headphones,1,150.0,02/10/20 15:24,"386 Main St, San Francisco, CA 94016"
144316,Lightning Charging Cable,1,14.95,02/16/20 10:33,"652 Cedar St, New York City, NY 10001"
144317,AA Batteries (4-pack),1,3.84,02/11/20 09:02,"857 Lake St, San Francisco, CA 94016"
144318,USB-C Charging Cable,1,11.95,02/05/20 19:38,"618 Highland St, New York City, NY 10001"
144319,Macbook Pro Laptop,1,1700.0,02/13/20 02:06,"636 North St, Seattle, WA 98101"
144320,27in FHD Monitor,1,149.99,02/23/20 19:39,"510 Walnut St, San Francisco, CA 94016"
144321,AAA Batteries (4-pack),1,2.99,02/27/20 17:44,"24 12th St, San Francisco, CA 94016"
144322,Lightning Charging Cable,1,14.95,02/13/20 11:07,"756 Pine St, Seattle, WA 98101"
144323,iPhone,1,700.0,02/12/20 20:49,"794 12th St, San Francisco, CA 94016"
144323,Wired Headphones,1,11.99,02/12/20 20:49,"794 12th St, San Francisco, CA 94016"
144324,AA Batteries (4-pack),1,3.84,02/18/20 12:44,"384 Dogwood St, Boston, MA 02215"
144325,Lightning Charging Cable,1,14.95,02/18/20 13:43,"726 13th St, San Francisco, CA 94016"
144326,27in FHD Monitor,1,149.99,02/05/20 08:59,"744 Jefferson St, San Francisco, CA 94016"
144326,AA Batteries (4-pack),1,3.84,02/05/20 08:59,"744 Jefferson St, San Francisco, CA 94016"
144327,AA Batteries (4-pack),1,3.84,02/02/20 14:30,"400 Ridge St, San Francisco, CA 94016"
144328,Lightning Charging Cable,1,14.95,02/05/20 05:19,"390 Forest St, San Francisco, CA 94016"
144329,Wired Headphones,1,11.99,02/07/20 20:57,"515 Jefferson St, Austin, TX 73301"
144330,Bose SoundSport Headphones,1,99.99,02/04/20 12:54,"297 Spruce St, Boston, MA 02215"
144331,Apple Airpods Headphones,1,150.0,02/04/20 05:55,"681 9th St, San Francisco, CA 94016"
144332,Vareebadd Phone,1,400.0,02/28/20 10:48,"76 North St, Los Angeles, CA 90001"
144333,AAA Batteries (4-pack),2,2.99,02/08/20 10:15,"119 Cherry St, San Francisco, CA 94016"
144334,Google Phone,1,600.0,02/10/20 20:24,"133 Dogwood St, New York City, NY 10001"
144335,AA Batteries (4-pack),4,3.84,02/26/20 15:31,"161 Madison St, Dallas, TX 75001"
144335,Apple Airpods Headphones,1,150.0,02/26/20 15:31,"161 Madison St, Dallas, TX 75001"
144336,USB-C Charging Cable,1,11.95,02/11/20 19:02,"726 Meadow St, Boston, MA 02215"
144337,Apple Airpods Headphones,1,150.0,02/17/20 01:15,"716 Johnson St, Portland, OR 97035"
144338,Bose SoundSport Headphones,1,99.99,02/20/20 00:48,"804 10th St, Seattle, WA 98101"
144339,USB-C Charging Cable,1,11.95,02/27/20 09:39,"738 Ridge St, San Francisco, CA 94016"
144340,Lightning Charging Cable,1,14.95,02/19/20 10:30,"153 8th St, Boston, MA 02215"
