Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
215767,27in FHD Monitor,1,149.99,07/14/20 17:48,"71 Cherry St, Seattle, WA 98101"
215768,Wired Headphones,1,11.99,07/04/20 21:16,"164 Ridge St, Austin, TX 73301"
215769,AAA Batteries (4-pack),1,2.99,07/31/20 18:32,"990 Church St, Los Angeles, CA 90001"
215770,USB-C Charging Cable,2,11.95,07/29/20 13:26,"758 Madison St, New York City, NY 10001"
215771,iPhone,1,700.0,07/24/20 12:11,"365 South St, Portland, OR 97035"
215772,Lightning Charging Cable,1,14.95,07/25/20 11:50,"451 Park St, San Francisco, CA 94016"
215773,LG Dryer,1,600.0,07/11/20 14:08,"940 6th St, Boston, MA 02215"
215774,Lightning Charging Cable,1,14.95,07/22/20 19:30,"132 7th St, Seattle, WA 98101"
215775,Vareebadd Phone,1,400.0,07/31/20 18:02,"14 Hill St, Dallas, TX 75001"
215776,Lightning Charging Cable,1,14.95,07/02/20 16:53,"359 Main St, Atlanta, GA 30301"
215777,AA Batteries (4-pack),1,3.84,07/26/20 17:31,"428 Willow St, San Francisco, CA 94016"
215778,USB-C Charging Cable,1,11.95,07/01/20 21:38,"509 Dogwood St, Los Angeles, CA 90001"
215779,AA Batteries (4-pack),1,3.84,07/24/20 18:27,"114 North St, Atlanta, GA 30301"
215780,Lightning Charging Cable,1,14.95,07/07/20 10:49,"11 5th St, Boston, MA 02215"
215781,27in FHD Monitor,1,149.99,07/03/20 19:52,"200 7th St, San Francisco, CA 94016"
215782,AAA Batteries (4-pack),1,2.99,07/18/20 10:44,"479 River St, Seattle, WA 98101"
215783,AA Batteries (4-pack),1,3.84,07/22/20 22:37,"118 Jackson St, Los Angeles, CA 90001"
215784,Lightning Charging Cable,1,14.95,07/09/20 12:27,"897 Hill St, San Francisco, CA 94016"
215785,Google Phone,1,600.0,07/13/20 22:16,"467 Meadow St, Boston, MA 02215"
215786,USB-C Charging Cable,1,11.95,07/31/20 15:11,"762 Church St, Atlanta, GA 30301"
215787,AA Batteries (4-pack),1,3.84,07/23/20 18:11,"531 Chestnut St, San Francisco, CA 94016"
215788,AAA Batteries (4-pack),1,2.99,07/06/20 06:19,"666 Lincoln St, San Francisco, CA 94016"
215789,27in FHD Monitor,1,149.99,07/27/20 19:35,"447 Highland St, Boston, MA 02215"
215790,Apple Airpods Headphones,1,150.0,07/25/20 13:56,"425 7th St, New York City, NY 10001"
215791,AAA Batteries (4-pack),1,2.99,07/22/20 02:41,"380 Church St, New York City, NY 10001"
215792,AAA Batteries (4-pack),1,2.99,07/23/20 20:56,"564 7th St, Dallas, TX 75001"
215793,Wired Headphones,1,11.99,07/27/20 14:06,"204 Hill St, Los Angeles, CA 90001"
215794,20in Monitor,1,109.99,07/16/20 20:21,"272 Walnut St, San Francisco, CA 94016"
215795,AA Batteries (4-pack),1,3.84,07/14/20 13:59,"120 12th St, Los Angeles, CA 90001"
215796,AA Batteries (4-pack),1,3.84,07/31/20 09:37,"379 Church St, San Francisco, CA 94016"
215797,AA Batteries (4-pack),2,3.84,07/21/20 00:38,"726 12th St, San Francisco, CA 94016"
215798,Macbook Pro Laptop,1,1700.0,07/19/20 12:02,"254 6th St, Portland, OR 97035"
215799,34in Ultrawide Monitor,1,379.99,07/17/20 11:51,"249 West St, Austin, TX 73301"
215800,34in Ultrawide Monitor,1,379.99,07/18/20 15:50,"900 9th St, San Francisco, CA 94016"
215801,34in Ultrawide Monitor,1,379.99,07/09/20 20:02,"766 12th St, Austin, TX 73301"
215802,Lightning Charging Cable,1,14.95,07/03/20 14:46,"659 13th St, Boston, MA 02215"
215803,AA Batteries (4-pack),1,3.84,07/28/20 21:37,"798 9th St, New York City, NY 10001"
215804,Apple Airpods Headphones,1,150.0,07/24/20 10:32,"626 8th St, Los Angeles, CA 90001"
215805,Lightning Charging Cable,1,14.95,07/22/20 13:26,"684 Pine St, San Francisco, CA 94016"
215805,Google Phone,1,600.0,07/22/20 13:26,"684 Pine St, San Francisco, CA 94016"
215806,Vareebadd Phone,1,400.0,07/04/20 08:16,"618 Adams St, Los Angeles, CA 90001"
215807,Bose SoundSport Headphones,1,99.99,07/29/20 11:29,"260 4th St, Boston, MA 02215"
215808,USB-C Charging Cable,1,11.95,07/24/20 00:08,"342 Park St, Los Angeles, CA 90001"
215809,27in 4K Gaming Monitor,1,389.99,07/31/20 07:42,"598 Maple St, San Francisco, CA 94016"
215810,Bose SoundSport Headphones,1,99.99,08/01/20 01:26,"479 Jackson St, Boston, MA 02215"
215810,USB-C Charging Cable,1,11.95,08/01/20 01:26,"479 Jackson St, Boston, MA 02215"
215811,27in 4K Gaming Monitor,1,389.99,07/24/20 17:03,"67 Ridge St, Los Angeles, CA 90001"
215812,Wired Headphones,1,11.99,07/09/20 21:48,"955 8th St, Portland, OR 97035"
215813,AA Batteries (4-pack),1,3.84,07/22/20 21:02,"718 Church St, Austin, TX 73301"
215814,Wired Headphones,1,11.99,07/02/20 17:13,"150 River St, Seattle, WA 98101"
215815,AA Batteries (4-pack),1,3.84,07/20/20 06:04,"843 8th St, Seattle, WA 98101"
215816,Google Phone,1,600.0,07/06/20 17:13,"331 13th St, Portland, OR 97035"
215817,ThinkPad Laptop,1,999.99,07/25/20 00:08,"316 Spruce St, New York City, NY 10001"
215818,AAA Batteries (4-pack),2,2.99,07/14/20 21:49,"990 North St, Austin, TX 73301"
215819,27in 4K Gaming Monitor,1,389.99,07/14/20 22:47,"494 Sunset St, San Francisco, CA 94016"
215820,Apple Airpods Headphones,1,150.0,07/19/20 06:11,"193 North St, San Francisco, CA 94016"
215821,Flatscreen TV,1,300.0,07/01/20 09:30,"464 Lincoln St, San Francisco, CA 94016"
215822,27in FHD Monitor,1,149.99,07/17/20 15:10,"896 Lincoln St, Boston, MA 02215"
215823,AAA Batteries (4-pack),1,2.99,07/18/20 09:57,"329 5th St, San Francisco, CA 94016"
215824,Bose SoundSport Headphones,1,99.99,07/24/20 11:47,"264 Washington St, New York City, NY 10001"
215825,AA Batteries (4-pack),2,3.84,07/12/20 23:34,"934 4th St, Boston, MA 02215"
215826,Apple Airpods Headphones,1,150.0,07/09/20 22:30,"702 9th St, Seattle, WA 98101"
215827,Wired Headphones,2,11.99,07/06/20 14:01,"891 Wilson St, Portland, OR 97035"
215828,iPhone,1,700.0,07/16/20 19:27,"451 Washington St, Dallas, TX 75001"
215829,USB-C Charging Cable,1,11.95,07/25/20 14:24,"405 Washington St, San Francisco, CA 94016"
215830,27in FHD Monitor,1,149.99,07/07/20 23:03,"763 Meadow St, Portland, ME 04101"
215831,AAA Batteries (4-pack),1,2.99,07/13/20 21:23,"402 South St, San Francisco, CA 94016"
215832,Wired Headphones,1,11.99,07/22/20 20:04,"696 Hickory St, Portland, OR 97035"
215833,Bose SoundSport Headphones,1,99.99,07/10/20 08:17,"415 Highland St, San Francisco, CA 94016"
215834,AAA Batteries (4-pack),1,2.99,07/31/20 17:43,"154 1st St, Los Angeles, CA 90001"
