Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
180759,Wired Headphones,1,11.99,05/27/20 20:33,"325 Church St, Dallas, TX 75001"
180760,27in 4K Gaming Monitor,1,389.99,05/07/20 13:01,"641 11th St, San Francisco, CA 94016"
180761,27in FHD Monitor,1,149.99,05/22/20 18:27,"844 Walnut St, New York City, NY 10001"
180762,Wired Headphones,1,11.99,05/19/20 21:58,"13 5th St, Boston, MA 02215"
180763,Bose SoundSport Headphones,1,99.99,05/19/20 15:27,"248 Adams St, New York City, NY 10001"
180764,Vareebadd Phone,1,400.0,05/08/20 02:32,"924 9th St, San Francisco, CA 94016"
180765,Macbook Pro Laptop,1,1700.0,05/04/20 13:09,"119 Jackson St, Portland, ME 04101"
180766,AAA Batteries (4-pack),2,2.99,05/24/20 14:14,"213 Meadow St, Portland, OR 97035"
180767,27in FHD Monitor,1,149.99,05/22/20 18:54,"724 Dogwood St, Atlanta, GA 30301"
180768,Apple Airpods Headphones,1,150.0,05/24/20 21:45,"191 North St, New York City, NY 10001"
180769,AA Batteries (4-pack),1,3.84,05/02/20 17:26,"446 2nd St, Boston, MA 02215"
180770,AA Batteries (4-pack),1,3.84,05/30/20 11:59,"452 11th St, Seattle, WA 98101"
180771,27in 4K Gaming Monitor,1,389.99,05/26/20 10:00,"865 Sunset St, Los Angeles, CA 90001"
180772,Bose SoundSport Headphones,1,99.99,05/31/20 12:09,"9 Ridge St, Los Angeles, CA 90001"
180773,AAA Batteries (4-pack),1,2.99,05/06/20 16:35,"402 9th St, New York City, NY 10001"
180774,Lightning Charging Cable,1,14.95,05/29/20 17:02,"750 10th St, San Francisco, CA 94016"
180775,USB-C Charging Cable,1,11.95,05/23/20 17:41,"142 Main St, Portland, ME 04101"
180776,Bose SoundSport Headphones,1,99.99,05/04/20 17:10,"189 North St, Seattle, WA 98101"
180777,AAA Batteries (4-pack),1,2.99,05/15/20 12:46,"755 Lincoln St, New York City, NY 10001"
180778,Apple Airpods Headphones,2,150.0,05/03/20 16:21,"722 West St, New York City, NY 10001"
180779,Bose SoundSport Headphones,1,99.99,05/13/20 11:28,"660 Madison St, Boston, MA 02215"
180780,ThinkPad Laptop,1,999.99,05/21/20 17:24,"294 Washington St, Atlanta, GA 30301"
180781,Bose SoundSport Headphones,1,99.99,05/26/20 07:15,"643 Walnut St, San Francisco, CA 94016"
180782,AAA Batteries (4-pack),1,2.99,05/29/20 17:40,"687 Forest St, Los Angeles, CA 90001"
180783,Flatscreen TV,1,300.0,05/12/20 11:48,"646 Cherry St, New York City, NY 10001"
180784,Apple Airpods Headphones,1,150.0,05/13/20 09:46,"591 Center St, New York City, NY 10001"
180785,Bose SoundSport Headphones,2,99.99,05/24/20 15:08,"449 Forest St, New York City, NY 10001"
180786,27in FHD Monitor,1,149.99,05/28/20 19:05,"860 8th St, San Francisco, CA 94016"
180787,AAA Batteries (4-pack),3,2.99,05/20/20 12:12,"509 Lakeview St, New York City, NY 10001"
180788,AA Batteries (4-pack),2,3.84,05/29/20 05:13,"488 9th St, Austin, TX 73301"
180789,Apple Airpods Headphones,1,150.0,05/14/20 20:15,"718 Jackson St, New York City, NY 10001"
