Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
266965,USB-C Charging Cable,1,11.95,11/24/20 15:54,"697 13th St, Los Angeles, CA 90001"
266966,Lightning Charging Cable,1,14.95,11/23/20 14:01,"690 10th St, San Francisco, CA 94016"
266967,AA Batteries (4-pack),3,3.84,11/29/20 12:25,"239 Dogwood St, Boston, MA 02215"
266968,Wired Headphones,1,11.99,11/05/20 10:05,"810 Meadow St, Austin, TX 73301"
266969,Bose SoundSport Headphones,1,99.99,11/16/20 22:25,"92 11th St, Portland, OR 97035"
266970,34in Ultrawide Monitor,1,379.99,11/10/20 09:24,"240 8th St, Boston, MA 02215"
,,,,,
266971,Lightning Charging Cable,1,14.95,11/18/20 12:26,"881 Highland St, Boston, MA 02215"
266972,Macbook Pro Laptop,1,1700,11/11/20 23:26,"908 10th St, San Francisco, CA 94016"
266973,USB-C Charging Cable,1,11.95,11/21/20 09:15,"114 1st St, New York City, NY 10001"
266974,Lightning Charging Cable,1,14.95,11/21/20 14:50,"938 Cedar St, San Francisco, CA 94016"
266975,Bose SoundSport Headphones,1,99.99,11/03/20 06:09,"574 10th St, San Francisco, CA 94016"
266976,Apple Airpods Headphones,1,150,11/25/20 16:09,"732 Hill St, Austin, TX 73301"
266977,Bose SoundSport Headphones,1,99.99,11/25/20 13:10,"747 Park St, Portland, OR 97035"
266978,ThinkPad Laptop,1,999.99,11/12/20 22:19,"470 West St, Los Angeles, CA 90001"
266979,USB-C Charging Cable,1,11.95,11/15/20 19:13,"260 14th St, Seattle, WA 98101"
266980,AA Batteries (4-pack),1,3.84,11/14/20 15:16,"729 Highland St, Los Angeles, CA 90001"
266981,Lightning Charging Cable,1,14.95,11/16/20 12:36,"519 River St, New York City, NY 10001"
266982,AAA Batteries (4-pack),4,2.99,11/13/20 17:19,"112 Highland St, San Francisco, CA 94016"
266983,Macbook Pro Laptop,1,1700,11/25/20 12:04,"950 13th St, Austin, TX 73301"
266984,27in 4K Gaming Monitor,1,389.99,11/19/20 19:44,"89 Meadow St, New York City, NY 10001"
266985,Lightning Charging Cable,1,14.95,11/23/20 06:41,"686 Spruce St, Seattle, WA 98101"
266986,ThinkPad Laptop,1,999.99,11/12/20 20:12,"258 Meadow St, Portland, OR 97035"
266987,Vareebadd Phone,1,400,11/08/20 12:56,"232 Madison St, Boston, MA 02215"
266988,Lightning Charging Cable,1,14.95,11/07/20 17:37,"470 Main St, Portland, OR 97035"
266989,ThinkPad Laptop,1,999.99,11/20/20 20:01,"448 Johnson St, New York City, NY 10001"
266990,27in FHD Monitor,1,149.99,11/25/20 19:37,"568 6th St, New York City, NY 10001"
266991,ThinkPad Laptop,1,999.99,11/10/20 00:07,"10 Wilson St, Dallas, TX 75001"
266992,USB-C Charging Cable,2,11.95,11/06/20 12:52,"198 Washington St, Seattle, WA 98101"
266993,Bose SoundSport Headphones,1,99.99,11/02/20 06:23,"427 7th St, Seattle, WA 98101"
266994,Wired Headphones,1,11.99,11/03/20 03:26,"101 Maple St, Los Angeles, CA 90001"
266995,AAA Batteries (4-pack),1,2.99,11/05/20 22:29,"802 Ridge St, Atlanta, GA 30301"
266996,27in FHD Monitor,1,149.99,12/01/20 01:01,"56 4th St, New York City, NY 10001"
266997,Bose SoundSport Headphones,1,99.99,11/17/20 12:46,"11 Lincoln St, San Francisco, CA 94016"
266998,AAA Batteries (4-pack),1,2.99,11/19/20 11:55,"446 Cedar St, Boston, MA 02215"
266999,Bose SoundSport Headphones,1,99.99,11/18/20 15:35,"387 Spruce St, Austin, TX 73301"
267000,Google Phone,1,600,11/25/20 20:10,"699 Hill St, Los Angeles, CA 90001"
267001,USB-C Charging Cable,1,11.95,11/22/20 16:10,"293 8th St, New York City, NY 10001"
267002,Wired Headphones,1,11.99,11/08/20 21:30,"671 North St, Portland, ME 04101"
267003,AA Batteries (4-pack),1,3.84,11/17/20 17:33,"302 Maple St, San Francisco, CA 94016"
267004,AAA Batteries (4-pack),2,2.99,11/09/20 22:40,"369 Walnut St, Boston, MA 02215"
267005,Lightning Charging Cable,1,14.95,11/11/20 06:11,"349 2nd St, New York City, NY 10001"
267006,27in FHD Monitor,1,149.99,11/22/20 19:24,"443 Ridge St, Boston, MA 02215"
267007,USB-C Charging Cable,1,11.95,11/26/20 11:07,"295 Lakeview St, Dallas, TX 75001"
267008,Vareebadd Phone,1,400,11/28/20 11:10,"857 10th St, San Francisco, CA 94016"
267009,AAA Batteries (4-pack),1,2.99,11/01/20 14:56,"373 Washington St, Seattle, WA 98101"
267010,Lightning Charging Cable,1,14.95,11/09/20 13:36,"478 Park St, Los Angeles, CA 90001"
267011,Lightning Charging Cable,1,14.95,11/30/20 14:26,"628 Ridge St, San Francisco, CA 94016"
267012,20in Monitor,1,109.99,11/13/20 12:08,"523 14th St, Boston, MA 02215"
267013,AAA Batteries (4-pack),2,2.99,11/26/20 10:39,"247 Meadow St, San Francisco, CA 94016"
267014,Bose SoundSport Headphones,1,99.99,11/05/20 13:06,"902 Johnson St, San Francisco, CA 94016"
267015,USB-C Charging Cable,1,11.95,11/22/20 19:23,"445 9th St, Boston, MA 02215"
267016,AA Batteries (4-pack),1,3.84,11/24/20 08:31,"10 10th St, San Francisco, CA 94016"
267017,Lightning Charging Cable,1,14.95,11/02/20 18:40,"470 8th St, San Francisco, CA 94016"
267018,Lightning Charging Cable,1,14.95,11/17/20 21:19,"523 Lake St, Boston, MA 02215"
267019,27in FHD Monitor,1,149.99,11/19/20 15:32,"999 12th St, Boston, MA 02215"
267020,Lightning Charging Cable,1,14.95,11/28/20 12:34,"415 Walnut St, Boston, MA 02215"
267021,Wired Headphones,2,11.99,11/11/20 18:26,"492 Elm St, Los Angeles, CA 90001"
267022,AAA Batteries (4-pack),1,2.99,11/04/20 11:54,"837 Madison St, San Francisco, CA 94016"
267023,Wired Headphones,1,11.99,11/13/20 19:02,"935 Jackson St, Boston, MA 02215"
267024,AA Batteries (4-pack),1,3.84,11/21/20 21:02,"171 Main St, Austin, TX 73301"
267025,Macbook Pro Laptop,1,1700,11/11/20 12:56,"287 Hill St, Seattle, WA 98101"
267026,Lightning Charging Cable,1,14.95,11/21/20 20:47,"730 Ridge St, New York City, NY 10001"
267027,AAA Batteries (4-pack),1,2.99,11/27/20 16:51,"269 Johnson St, Portland, OR 97035"
267028,34in Ultrawide Monitor,1,379.99,11/10/20 11:29,"633 Forest St, Los Angeles, CA 90001"
267029,34in Ultrawide Monitor,1,379.99,11/26/20 11:28,"138 2nd St, Atlanta, GA 30301"
267030,Bose SoundSport Headphones,1,99.99,11/13/20 12:25,"330 Church St, Los Angeles, CA 90001"
267031,Lightning Charging Cable,2,14.95,11/04/20 15:29,"926 Church St, Atlanta, GA 30301"
267032,Lightning Charging Cable,1,14.95,11/25/20 22:24,"376 Jackson St, Dallas, TX 75001"
267033,AA Batteries (4-pack),2,3.84,11/20/20 18:35,"191 Elm St, San Francisco, CA 94016"
267034,AA Batteries (4-pack),1,3.84,11/15/20 18:45,"360 7th St, Los Angeles, CA 90001"
267035,34in Ultrawide Monitor,1,379.99,11/15/20 12:38,"971 2nd St, Atlanta, GA 30301"
267036,AAA Batteries (4-pack),1,2.99,11/15/20 22:19,"899 Johnson St, New York City, NY 10001"
267037,Lightning Charging Cable,1,14.95,11/12/20 20:18,"182 5th St, Seattle, WA 98101"
267038,Wired Headphones,1,11.99,11/28/20 18:16,"27 Johnson St, Boston, MA 02215"
267039,Lightning Charging Cable,1,14.95,11/30/20 00:36,"219 Park St, Seattle, WA 98101"
267040,LG Dryer,1,600.0,11/07/20 17:32,"287 5th St, Los Angeles, CA 90001"
267041,20in Monitor,1,109.99,11/09/20 09:35,"743 Sunset St, Los Angeles, CA 90001"
267042,Flatscreen TV,1,300,11/01/20 10:26,"849 Wilson St, San Francisco, CA 94016"
267043,USB-C Charging Cable,1,11.95,11/10/20 17:18,"829 Lincoln St, San Francisco, CA 94016"
267044,iPhone,1,700,11/14/20 01:14,"656 Adams St, New York City, NY 10001"
267045,USB-C Charging Cable,1,11.95,11/17/20 15:24,"392 Cedar St, Los Angeles, CA 90001"
267046,Bose SoundSport Headphones,1,99.99,11/12/20 13:56,"317 12th St, New York City, NY 10001"
267047,AAA Batteries (4-pack),1,2.99,11/06/20 06:30,"346 South St, Dallas, TX 75001"
267048,34in Ultrawide Monitor,1,379.99,11/08/20 20:40,"186 7th St, Boston, MA 02215"
