Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
251322,USB-C Charging Cable,1,11.95,10/30/20 08:08,"589 Spruce St, New York City, NY 10001"
251323,AAA Batteries (4-pack),3,2.99,10/10/20 15:26,"763 Main St, San Francisco, CA 94016"
251324,AAA Batteries (4-pack),2,2.99,10/14/20 19:25,"640 2nd St, Portland, OR 97035"
251325,Bose SoundSport Headphones,1,99.99,10/03/20 09:53,"860 Lincoln St, San Francisco, CA 94016"
251326,AAA Batteries (4-pack),1,2.99,10/04/20 19:58,"26 Hill St, Los Angeles, CA 90001"
251327,AA Batteries (4-pack),1,3.84,10/30/20 12:08,"385 Lincoln St, Boston, MA 02215"
251328,USB-C Charging Cable,1,11.95,10/08/20 21:35,"469 Elm St, New York City, NY 10001"
251329,27in FHD Monitor,1,149.99,10/11/20 15:54,"775 14th St, Seattle, WA 98101"
251330,Lightning Charging Cable,1,14.95,10/15/20 22:41,"274 5th St, Atlanta, GA 30301"
251331,Google Phone,1,600.0,10/12/20 21:03,"782 1st St, Portland, OR 97035"
251332,USB-C Charging Cable,1,11.95,10/23/20 18:49,"346 Dogwood St, San Francisco, CA 94016"
251333,Lightning Charging Cable,1,14.95,10/20/20 18:03,"223 Walnut St, Los Angeles, CA 90001"
251334,AA Batteries (4-pack),1,3.84,10/25/20 21:35,"230 7th St, New York City, NY 10001"
251335,34in Ultrawide Monitor,1,379.99,10/28/20 12:18,"780 Church St, Dallas, TX 75001"
251336,Bose SoundSport Headphones,1,99.99,10/06/20 17:18,"136 Forest St, Los Angeles, CA 90001"
251337,AAA Batteries (4-pack),1,2.99,10/19/20 07:51,"888 11th St, New York City, NY 10001"
251338,AAA Batteries (4-pack),1,2.99,10/05/20 14:15,"455 Cedar St, Seattle, WA 98101"
251339,Apple Airpods Headphones,1,150.0,10/18/20 01:11,"83 Walnut St, San Francisco, CA 94016"
251340,Bose SoundSport Headphones,1,99.99,10/13/20 18:55,"254 7th St, New York City, NY 10001"
251341,Wired Headphones,1,11.99,10/02/20 17:53,"951 9th St, Seattle, WA 98101"
251342,Lightning Charging Cable,1,14.95,10/09/20 13:22,"465 Meadow St, San Francisco, CA 94016"
251343,AAA Batteries (4-pack),2,2.99,10/26/20 12:31,"291 10th St, Atlanta, GA 30301"
251344,USB-C Charging Cable,1,11.95,10/06/20 21:31,"550 Adams St, Atlanta, GA 30301"
251344,Bose SoundSport Headphones,1,99.99,10/06/20 21:31,"550 Adams St, Atlanta, GA 30301"
251345,Lightning Charging Cable,1,14.95,10/14/20 07:51,"211 5th St, Boston, MA 02215"
251346,27in FHD Monitor,1,149.99,10/05/20 21:16,"792 Pine St, Atlanta, GA 30301"
251347,Wired Headphones,1,11.99,10/08/20 18:56,"263 Cherry St, San Francisco, CA 94016"
251348,Apple Airpods Headphones,1,150.0,10/25/20 11:43,"638 12th St, New York City, NY 10001"
251349,Wired Headphones,3,11.99,10/13/20 20:11,"608 Chestnut St, Seattle, WA 98101"
251350,ThinkPad Laptop,1,999.99,10/24/20 22:19,"514 Hickory St, Boston, MA 02215"
251351,Bose SoundSport Headphones,1,99.99,10/15/20 09:08,"234 5th St, Los Angeles, CA 90001"
251352,Macbook Pro Laptop,1,1700.0,10/08/20 15:55,"582 12th St, Los Angeles, CA 90001"
251353,Apple Airpods Headphones,1,150.0,10/19/20 20:48,"85 4th St, Atlanta, GA 30301"
251354,Flatscreen TV,1,300.0,10/08/20 17:44,"21 Church St, Dallas, TX 75001"
251355,USB-C Charging Cable,1,11.95,10/09/20 18:39,"666 Lake St, Boston, MA 02215"
251356,34in Ultrawide Monitor,1,379.99,10/21/20 21:03,"623 Church St, Atlanta, GA 30301"
251357,27in 4K Gaming Monitor,1,389.99,10/02/20 17:21,"623 2nd St, Austin, TX 73301"
251358,27in 4K Gaming Monitor,1,389.99,10/27/20 07:27,"651 2nd St, Boston, MA 02215"
251359,USB-C Charging Cable,1,11.95,10/05/20 17:05,"89 Willow St, New York City, NY 10001"
251360,Wired Headphones,2,11.99,10/13/20 12:30,"472 Cedar St, New York City, NY 10001"
251361,AA Batteries (4-pack),1,3.84,10/27/20 17:59,"329 14th St, San Francisco, CA 94016"
251362,Bose SoundSport Headphones,1,99.99,10/01/20 11:07,"590 Wilson St, Seattle, WA 98101"
251363,Lightning Charging Cable,1,14.95,10/16/20 02:15,"168 Johnson St, Los Angeles, CA 90001"
251364,USB-C Charging Cable,2,11.95,10/28/20 21:13,"881 Lincoln St, Dallas, TX 75001"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
251365,Apple Airpods Headphones,1,150,10/18/20 14:23,"460 13th St, San Francisco, CA 94016"
251365,AAA Batteries (4-pack),1,2.99,10/18/20 14:23,"460 13th St, San Francisco, CA 94016"
251366,Wired Headphones,1,11.99,10/15/20 21:08,"938 Meadow St, San Francisco, CA 94016"
251367,Wired Headphones,2,11.99,10/23/20 15:39,"788 Main St, San Francisco, CA 94016"
251368,Lightning Charging Cable,1,14.95,10/06/20 18:15,"207 Johnson St, San Francisco, CA 94016"
251369,27in 4K Gaming Monitor,1,389.99,10/03/20 21:22,"739 Walnut St, Dallas, TX 75001"
251370,27in 4K Gaming Monitor,1,389.99,10/29/20 21:44,"499 Maple St, Austin, TX 73301"
251371,27in FHD Monitor,1,149.99,10/01/20 21:50,"100 Hill St, Atlanta, GA 30301"
251372,AA Batteries (4-pack),1,3.84,10/14/20 11:37,"600 Johnson St, Los Angeles, CA 90001"
251373,34in Ultrawide Monitor,1,379.99,10/07/20 11:53,"260 Forest St, Austin, TX 73301"
251374,Lightning Charging Cable,1,14.95,10/31/20 05:20,"890 Jefferson St, San Francisco, CA 94016"
251375,Wired Headphones,1,11.99,10/11/20 21:53,"282 Pine St, Portland, ME 04101"
