Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
240980,Wired Headphones,1,11.99,09/13/20 13:46,"848 Chestnut St, San Francisco, CA 94016"
240981,34in Ultrawide Monitor,1,379.99,09/23/20 10:29,"742 Willow St, Boston, MA 02215"
240982,Apple Airpods Headphones,1,150.0,09/14/20 10:32,"381 Elm St, New York City, NY 10001"
240983,Apple Airpods Headphones,1,150.0,09/13/20 11:10,"883 Forest St, Austin, TX 73301"
240984,Macbook Pro Laptop,1,1700.0,09/27/20 14:07,"983 Chestnut St, San Francisco, CA 94016"
240985,Apple Airpods Headphones,1,150.0,09/15/20 22:34,"427 Dogwood St, San Francisco, CA 94016"
240986,LG Washing Machine,1,600.0,09/13/20 14:55,"35 7th St, Los Angeles, CA 90001"
240987,Lightning Charging Cable,1,14.95,09/17/20 15:26,"248 Willow St, Austin, TX 73301"
240988,iPhone,1,700.0,09/15/20 19:32,"990 Forest St, Seattle, WA 98101"
240988,Wired Headphones,1,11.99,09/15/20 19:32,"990 Forest St, Seattle, WA 98101"
240989,Macbook Pro Laptop,1,1700.0,09/01/20 08:27,"436 River St, Austin, TX 73301"
240990,Bose SoundSport Headphones,1,99.99,09/09/20 20:31,"966 North St, Los Angeles, CA 90001"
240991,AA Batteries (4-pack),1,3.84,09/10/20 13:33,"921 River St, Dallas, TX 75001"
,,,,,
240992,AAA Batteries (4-pack),1,2.99,09/12/20 00:48,"385 13th St, Portland, OR 97035"
240993,AAA Batteries (4-pack),1,2.99,09/16/20 13:33,"775 Jackson St, Atlanta, GA 30301"
240994,AA Batteries (4-pack),1,3.84,09/18/20 12:54,"695 5th St, Portland, OR 97035"
240995,Apple Airpods Headphones,1,150,09/11/20 12:56,"344 10th St, Austin, TX 73301"
240996,Google Phone,1,600,09/28/20 12:38,"624 11th St, Portland, ME 04101"
240997,AAA Batteries (4-pack),6,2.99,09/19/20 20:06,"756 Elm St, Los Angeles, CA 90001"
240998,AA Batteries (4-pack),1,3.84,09/02/20 09:47,"528 8th St, Portland, OR 97035"
240999,Lightning Charging Cable,2,14.95,09/21/20 11:26,"32 South St, San Francisco, CA 94016"
241000,AAA Batteries (4-pack),2,2.99,09/12/20 16:04,"11 8th St, Austin, TX 73301"
241001,Bose SoundSport Headphones,1,99.99,09/21/20 21:51,"972 13th St, Boston, MA 02215"
241002,AA Batteries (4-pack),1,3.84,09/05/20 14:08,"41 Forest St, Los Angeles, CA 90001"
241003,AA Batteries (4-pack),1,3.84,09/12/20 16:10,"866 Main St, Dallas, TX 75001"
241004,27in 4K Gaming Monitor,1,389.99,09/29/20 16:22,"493 Washington St, New York City, NY 10001"
241005,Wired Headphones,1,11.99,09/12/20 06:59,"84 14th St, San Francisco, CA 94016"
241006,AAA Batteries (4-pack),6,2.99,09/19/20 07:24,"262 Meadow St, Los Angeles, CA 90001"
241007,AA Batteries (4-pack),1,3.84,09/16/20 18:17,"904 Washington St, Atlanta, GA 30301"
241008,USB-C Charging Cable,1,11.95,09/22/20 10:47,"660 South St, San Francisco, CA 94016"
241009,Lightning Charging Cable,1,14.95,09/08/20 14:01,"543 4th St, San Francisco, CA 94016"
241010,Macbook Pro Laptop,1,1700,09/23/20 19:24,"665 South St, New York City, NY 10001"
241011,USB-C Charging Cable,1,11.95,09/20/20 14:50,"422 2nd St, Atlanta, GA 30301"
241012,Wired Headphones,1,11.99,09/16/20 12:24,"910 Park St, Dallas, TX 75001"
241013,Flatscreen TV,1,300,09/25/20 21:07,"280 14th St, Austin, TX 73301"
241014,27in FHD Monitor,1,149.99,09/25/20 13:54,"390 Willow St, Atlanta, GA 30301"
241015,AAA Batteries (4-pack),4,2.99,09/14/20 03:24,"478 Pine St, San Francisco, CA 94016"
241016,Wired Headphones,1,11.99,09/03/20 21:25,"421 1st St, Los Angeles, CA 90001"
241017,Macbook Pro Laptop,1,1700,09/15/20 11:44,"211 Adams St, Boston, MA 02215"
241018,Flatscreen TV,1,300,09/23/20 19:17,"823 Jackson St, Los Angeles, CA 90001"
241019,USB-C Charging Cable,1,11.95,09/02/20 21:40,"574 6th St, New York City, NY 10001"
241020,AAA Batteries (4-pack),1,2.99,09/02/20 17:05,"346 Lake St, Austin, TX 73301"
241021,27in FHD Monitor,1,149.99,09/02/20 13:58,"174 Lincoln St, New York City, NY 10001"
241022,Apple Airpods Headphones,1,150,09/23/20 16:27,"93 Center St, Los Angeles, CA 90001"
241023,Wired Headphones,1,11.99,09/22/20 14:21,"393 Madison St, New York City, NY 10001"
241024,Apple Airpods Headphones,1,150,09/22/20 21:31,"480 Meadow St, Boston, MA 02215"
241025,Wired Headphones,1,11.99,09/18/20 06:10,"483 South St, Atlanta, GA 30301"
241026,Bose SoundSport Headphones,1,99.99,09/19/20 10:41,"379 Johnson St, Los Angeles, CA 90001"
241027,USB-C Charging Cable,1,11.95,09/19/20 12:45,"100 Church St, New York City, NY 10001"
241028,Lightning Charging Cable,1,14.95,09/16/20 09:17,"804 Main St, New York City, NY 10001"
241029,AAA Batteries (4-pack),1,2.99,09/11/20 20:59,"412 Dogwood St, Austin, TX 73301"
241030,iPhone,1,700,09/12/20 07:57,"319 10th St, Boston, MA 02215"
241031,27in FHD Monitor,1,149.99,09/20/20 14:01,"619 Center St, San Francisco, CA 94016"
241032,AAA Batteries (4-pack),2,2.99,09/28/20 19:05,"952 Lake St, Seattle, WA 98101"
241033,Lightning Charging Cable,1,14.95,09/07/20 09:44,"79 14th St, Portland, OR 97035"
241034,Bose SoundSport Headphones,1,99.99,09/09/20 14:06,"840 Ridge St, Austin, TX 73301"
241035,Macbook Pro Laptop,1,1700,09/21/20 09:51,"49 Elm St, Dallas, TX 75001"
241036,USB-C Charging Cable,1,11.95,09/22/20 13:59,"123 4th St, Austin, TX 73301"
241037,AAA Batteries (4-pack),2,2.99,09/07/20 12:48,"687 7th St, San Francisco, CA 94016"
241038,LG Dryer,1,600.0,09/07/20 17:23,"873 Church St, San Francisco, CA 94016"
241039,AA Batteries (4-pack),2,3.84,09/29/20 19:22,"358 River St, Dallas, TX 75001"
241040,USB-C Charging Cable,1,11.95,09/26/20 09:44,"460 Walnut St, Boston, MA 02215"
241041,AAA Batteries (4-pack),2,2.99,09/09/20 07:08,"430 Walnut St, Austin, TX 73301"
241042,Bose SoundSport Headphones,1,99.99,09/26/20 12:33,"606 Johnson St, Dallas, TX 75001"
241043,Lightning Charging Cable,1,14.95,09/02/20 19:55,"85 Pine St, Boston, MA 02215"
241044,27in FHD Monitor,1,149.99,09/07/20 16:41,"940 Spruce St, San Francisco, CA 94016"
241045,AA Batteries (4-pack),1,3.84,09/06/20 22:53,"811 Wilson St, New York City, NY 10001"
241046,Lightning Charging Cable,1,14.95,09/10/20 21:44,"608 West St, Atlanta, GA 30301"
241047,Macbook Pro Laptop,1,1700,09/14/20 08:40,"646 Ridge St, Seattle, WA 98101"
241048,iPhone,1,700,09/20/20 12:33,"838 Center St, Boston, MA 02215"
241049,Bose SoundSport Headphones,1,99.99,09/08/20 22:40,"357 Sunset St, San Francisco, CA 94016"
241050,Lightning Charging Cable,1,14.95,09/02/20 14:35,"440 8th St, San Francisco, CA 94016"
241051,USB-C Charging Cable,2,11.95,09/06/20 22:42,"527 Lincoln St, Los Angeles, CA 90001"
241052,AAA Batteries (4-pack),1,2.99,09/23/20 20:29,"760 Lincoln St, San Francisco, CA 94016"
241053,Bose SoundSport Headphones,1,99.99,09/03/20 11:21,"917 Ridge St, Dallas, TX 75001"
241054,Wired Headphones,1,11.99,09/11/20 21:25,"200 Church St, New York City, NY 10001"
241055,AA Batteries (4-pack),2,3.84,09/13/20 19:31,"816 Dogwood St, New York City, NY 10001"
241056,USB-C Charging Cable,1,11.95,09/22/20 00:15,"947 Center St, San Francisco, CA 94016"
241057,AA Batteries (4-pack),1,3.84,09/22/20 18:19,"213 Walnut St, Los Angeles, CA 90001"
241058,AA Batteries (4-pack),1,3.84,09/14/20 17:22,"323 1st St, San Francisco, CA 94016"
241059,27in 4K Gaming Monitor,1,389.99,09/15/20 18:04,"552 Dogwood St, Austin, TX 73301"
241060,27in FHD Monitor,1,149.99,09/20/20 10:48,"260 Lake St, Boston, MA 02215"
241061,Wired Headphones,1,11.99,09/11/20 14:47,"391 10th St, Los Angeles, CA 90001"
241062,USB-C Charging Cable,1,11.95,09/20/20 09:33,"380 14th St, New York City, NY 10001"
241063,USB-C Charging Cable,1,11.95,09/21/20 19:49,"801 Lake St, Los Angeles, CA 90001"
241064,Flatscreen TV,1,300,09/09/20 11:25,"310 Cedar St, Boston, MA 02215"
241065,AAA Batteries (4-pack),3,2.99,09/28/20 22:31,"360 11th St, New York City, NY 10001"
241066,USB-C Charging Cable,1,11.95,09/20/20 10:21,"940 Pine St, Los Angeles, CA 90001"
241067,Bose SoundSport Headphones,1,99.99,09/23/20 12:07,"774 Center St, New York City, NY 10001"
241068,Lightning Charging Cable,2,14.95,09/07/20 13:11,"890 4th St, Portland, OR 97035"
241069,27in FHD Monitor,1,149.99,09/15/20 07:26,"706 Park St, Los Angeles, CA 90001"
241070,Bose SoundSport Headphones,1,99.99,09/10/20 04:59,"387 Wilson St, New York City, NY 10001"
241071,AA Batteries (4-pack),1,3.84,09/11/20 14:51,"658 Jefferson St, New York City, NY 10001"
241072,Wired Headphones,1,11.99,09/18/20 00:22,"479 Washington St, Los Angeles, CA 90001"
241073,Lightning Charging Cable,1,14.95,09/07/20 22:17,"707 Ridge St, Boston, MA 02215"
241074,Apple Airpods Headphones,1,150,09/08/20 11:03,"164 Dogwood St, San Francisco, CA 94016"
241075,Google Phone,1,600,09/18/20 19:35,"86 14th St, New York City, NY 10001"
241076,iPhone,1,700,09/25/20 10:28,"781 Washington St, Dallas, TX 75001"
241077,USB-C Charging Cable,1,11.95,09/24/20 13:06,"446 Cherry St, New York City, NY 10001"
241078,27in 4K Gaming Monitor,1,389.99,09/09/20 13:05,"726 Lincoln St, Los Angeles, CA 90001"
241079,AAA Batteries (4-pack),2,2.99,09/04/20 22:08,"435 Hill St, Portland, OR 97035"
241080,Lightning Charging Cable,1,14.95,09/17/20 10:41,"844 Spruce St, New York City, NY 10001"
241081,AAA Batteries (4-pack),3,2.99,09/18/20 18:34,"386 Walnut St, Seattle, WA 98101"
241082,Lightning Charging Cable,1,14.95,09/29/20 13:11,"791 Dogwood St, Atlanta, GA 30301"
241083,20in Monitor,1,109.99,09/29/20 11:08,"873 14th St, New York City, NY 10001"
241084,Bose SoundSport Headphones,1,99.99,09/23/20 20:25,"847 13th St, New York City, NY 10001"
241085,Lightning Charging Cable,1,14.95,09/11/20 17:00,"599 Meadow St, San Francisco, CA 94016"
241086,AAA Batteries (4-pack),4,2.99,09/06/20 06:49,"856 13th St, New York City, NY 10001"
241087,Wired Headphones,1,11.99,09/27/20 22:33,"777 4th St, Atlanta, GA 30301"
241088,Apple Airpods Headphones,1,150,09/07/20 09:53,"977 Hill St, Seattle, WA 98101"
241089,20in Monitor,1,109.99,09/04/20 20:03,"271 Willow St, Dallas, TX 75001"
241090,Google Phone,1,600,09/21/20 11:02,"732 Johnson St, San Francisco, CA 94016"
241091,USB-C Charging Cable,1,11.95,09/10/20 11:52,"112 Pine St, Los Angeles, CA 90001"
241092,iPhone,1,700,09/17/20 10:40,"439 Church St, San Francisco, CA 94016"
241093,AAA Batteries (4-pack),1,2.99,09/11/20 18:10,"211 South St, Los Angeles, CA 90001"
241094,AA Batteries (4-pack),3,3.84,09/01/20 08:36,"993 Cherry St, Boston, MA 02215"
241095,Macbook Pro Laptop,1,1700,09/07/20 14:34,"918 Wilson St, San Francisco, CA 94016"
241096,iPhone,1,700,09/03/20 10:37,"439 Maple St, San Francisco, CA 94016"
241097,Lightning Charging Cable,1,14.95,09/09/20 19:02,"611 Cedar St, Portland, OR 97035"
241098,AA Batteries (4-pack),1,3.84,09/10/20 09:45,"30 9th St, Portland, OR 97035"
241099,USB-C Charging Cable,1,11.95,09/01/20 16:12,"586 Lake St, San Francisco, CA 94016"
241100,Bose SoundSport Headphones,1,99.99,09/02/20 08:02,"546 Cherry St, San Francisco, CA 94016"
241101,Apple Airpods Headphones,1,150,09/28/20 12:58,"837 Adams St, New York City, NY 10001"
241102,Bose SoundSport Headphones,1,99.99,09/21/20 12:04,"205 Meadow St, New York City, NY 10001"
241103,Bose SoundSport Headphones,1,99.99,09/02/20 19:34,"916 Hill St, Atlanta, GA 30301"
241104,Apple Airpods Headphones,1,150,09/26/20 11:04,"312 Jefferson St, Boston, MA 02215"
241105,27in 4K Gaming Monitor,1,389.99,09/30/20 07:48,"547 10th St, Atlanta, GA 30301"
241106,iPhone,1,700,09/21/20 18:58,"526 Washington St, Los Angeles, CA 90001"
241107,LG Dryer,1,600.0,09/22/20 12:41,"584 10th St, Austin, TX 73301"
241108,USB-C Charging Cable,1,11.95,09/14/20 12:18,"806 Center St, Seattle, WA 98101"
241109,AAA Batteries (4-pack),1,2.99,09/23/20 19:24,"822 4th St, Boston, MA 02215"
241110,27in 4K Gaming Monitor,1,389.99,09/10/20 01:36,"808 Highland St, Atlanta, GA 30301"
241111,Bose SoundSport Headphones,1,99.99,09/07/20 09:23,"709 Johnson St, Boston, MA 02215"
241112,Lightning Charging Cable,1,14.95,09/19/20 13:38,"698 13th St, San Francisco, CA 94016"
241113,Lightning Charging Cable,1,14.95,09/13/20 23:02,"266 2nd St, Boston, MA 02215"
241114,ThinkPad Laptop,1,999.99,09/04/20 13:54,"412 10th St, San Francisco, CA 94016"
241115,Macbook Pro Laptop,1,1700,09/19/20 07:05,"441 Hill St, Boston, MA 02215"
241116,Wired Headphones,1,11.99,09/16/20 11:04,"210 12th St, New York City, NY 10001"
241117,Macbook Pro Laptop,1,1700,09/21/20 23:20,"696 Sunset St, San Francisco, CA 94016"
241117,USB-C Charging Cable,1,11.95,09/21/20 23:20,"696 Sunset St, San Francisco, CA 94016"
241118,Wired Headphones,1,11.99,09/09/20 21:54,"760 Main St, Atlanta, GA 30301"
241119,Apple Airpods Headphones,1,150,09/02/20 11:17,"688 Highland St, Los Angeles, CA 90001"
241120,iPhone,1,700,09/12/20 10:29,"314 Johnson St, San Francisco, CA 94016"
241121,AA Batteries (4-pack),1,3.84,09/21/20 18:03,"950 Chestnut St, San Francisco, CA 94016"
241122,Flatscreen TV,1,300,09/01/20 17:59,"147 Willow St, Los Angeles, CA 90001"
241123,AA Batteries (4-pack),1,3.84,09/15/20 21:29,"339 Park St, Seattle, WA 98101"
241124,AA Batteries (4-pack),1,3.84,09/21/20 12:23,"165 Meadow St, Atlanta, GA 30301"
241125,USB-C Charging Cable,1,11.95,09/13/20 14:03,"163 9th St, New York City, NY 10001"
241126,Vareebadd Phone,1,400,09/17/20 18:20,"528 Jefferson St, New York City, NY 10001"
241127,Lightning Charging Cable,1,14.95,09/01/20 17:21,"70 Lakeview St, Dallas, TX 75001"
241128,27in 4K Gaming Monitor,1,389.99,09/26/20 21:55,"507 4th St, Dallas, TX 75001"
241129,Google Phone,1,600,09/04/20 08:21,"149 2nd St, Dallas, TX 75001"
241130,AA Batteries (4-pack),1,3.84,09/03/20 19:25,"857 4th St, Seattle, WA 98101"
241131,27in 4K Gaming Monitor,1,389.99,09/08/20 11:29,"107 North St, Los Angeles, CA 90001"
241132,AAA Batteries (4-pack),1,2.99,09/26/20 18:10,"200 Forest St, New York City, NY 10001"
241133,Apple Airpods Headphones,1,150,09/28/20 22:33,"894 8th St, New York City, NY 10001"
241134,Google Phone,1,600,09/15/20 15:26,"25 Main St, Portland, ME 04101"
241135,34in Ultrawide Monitor,1,379.99,09/26/20 17:54,"59 14th St, Boston, MA 02215"
241136,Lightning Charging Cable,1,14.95,09/04/20 07:34,"431 Lake St, New York City, NY 10001"
241137,Bose SoundSport Headphones,1,99.99,09/17/20 22:27,"743 Lake St, Los Angeles, CA 90001"
241138,AA Batteries (4-pack),2,3.84,09/01/20 18:32,"158 Wilson St, Boston, MA 02215"
,,,,,
241139,AAA Batteries (4-pack),1,2.99,09/25/20 16:24,"927 Adams St, Seattle, WA 98101"
241140,Apple Airpods Headphones,1,150,09/06/20 15:13,"443 9th St, Los Angeles, CA 90001"
241141,27in FHD Monitor,1,149.99,09/08/20 17:36,"922 Cherry St, Seattle, WA 98101"
241142,Bose SoundSport Headphones,1,99.99,09/21/20 20:15,"856 Forest St, San Francisco, CA 94016"
241143,AA Batteries (4-pack),2,3.84,09/12/20 04:17,"134 Willow St, San Francisco, CA 94016"
241144,AAA Batteries (4-pack),1,2.99,09/24/20 06:39,"409 Chestnut St, Seattle, WA 98101"
241145,USB-C Charging Cable,1,11.95,09/16/20 09:24,"354 Pine St, Portland, OR 97035"
241146,Flatscreen TV,1,300,09/29/20 22:41,"270 Johnson St, Los Angeles, CA 90001"
241147,Bose SoundSport Headphones,1,99.99,09/05/20 11:56,"641 Elm St, Seattle, WA 98101"
241148,AAA Batteries (4-pack),1,2.99,09/15/20 21:29,"813 9th St, Seattle, WA 98101"
241149,Apple Airpods Headphones,1,150,09/04/20 03:11,"621 Hickory St, San Francisco, CA 94016"
241150,27in 4K Gaming Monitor,1,389.99,09/22/20 01:50,"620 9th St, San Francisco, CA 94016"
241151,Bose SoundSport Headphones,1,99.99,09/19/20 18:54,"522 Washington St, San Francisco, CA 94016"
241152,27in 4K Gaming Monitor,1,389.99,09/04/20 13:44,"298 Elm St, San Francisco, CA 94016"
241153,Flatscreen TV,1,300,09/13/20 00:00,"126 Jackson St, Atlanta, GA 30301"
241154,Apple Airpods Headphones,1,150,09/13/20 22:33,"24 North St, New York City, NY 10001"
241155,AAA Batteries (4-pack),1,2.99,09/03/20 17:39,"611 Sunset St, Atlanta, GA 30301"
241156,USB-C Charging Cable,1,11.95,09/15/20 18:14,"854 6th St, San Francisco, CA 94016"
241157,Wired Headphones,1,11.99,09/03/20 19:08,"451 11th St, San Francisco, CA 94016"
241158,Lightning Charging Cable,1,14.95,09/05/20 11:49,"311 Elm St, Los Angeles, CA 90001"
241159,Lightning Charging Cable,2,14.95,09/28/20 16:16,"814 Lake St, San Francisco, CA 94016"
241160,Wired Headphones,1,11.99,09/22/20 16:21,"835 10th St, Los Angeles, CA 90001"
241160,Apple Airpods Headphones,1,150,09/22/20 16:21,"835 10th St, Los Angeles, CA 90001"
241161,Wired Headphones,1,11.99,09/29/20 12:52,"187 Sunset St, Austin, TX 73301"
241162,AA Batteries (4-pack),1,3.84,09/21/20 20:44,"403 Walnut St, Boston, MA 02215"
241163,Wired Headphones,1,11.99,09/04/20 14:32,"545 Cherry St, San Francisco, CA 94016"
