Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Wired Headphones,1,11.99,01/08/21 11:37,"183 Lincoln St, Seattle, WA 98101"
141235,AA Batteries (4-pack),2,3.84,01/26/21 19:25,"26 14th St, Dallas, TX 75001"
141236,AA Batteries (4-pack),1,3.84,01/26/21 08:49,"927 Dogwood St, Boston, MA 02215"
141237,20in Monitor,1,109.99,01/26/21 13:51,"651 14th St, Portland, ME 04101"
141238,34in Ultrawide Monitor,1,379.99,01/11/21 14:57,"597 Park St, New York City, NY 10001"
141239,AAA Batteries (4-pack),1,2.99,01/15/21 18:15,"39 Center St, Los Angeles, CA 90001"
141240,Lightning Charging Cable,1,14.95,01/10/21 17:22,"216 Elm St, Boston, MA 02215"
141241,AA Batteries (4-pack),2,3.84,01/13/21 11:50,"920 12th St, Seattle, WA 98101"
141242,Wired Headphones,1,11.99,01/31/21 19:51,"415 Jackson St, Los Angeles, CA 90001"
141243,AAA Batteries (4-pack),3,2.99,01/02/21 16:17,"51 Cherry St, Seattle, WA 98101"
141244,Lightning Charging Cable,2,14.95,01/27/21 08:20,"769 Adams St, Boston, MA 02215"
141245,iPhone,1,700.0,01/03/21 10:43,"163 Jackson St, Boston, MA 02215"
141246,AA Batteries (4-pack),1,3.84,01/04/21 11:34,"654 West St, Los Angeles, CA 90001"
141247,USB-C Charging Cable,1,11.95,01/22/21 16:30,"105 Jefferson St, New York City, NY 10001"
141248,20in Monitor,1,109.99,01/03/21 11:11,"46 14th St, San Francisco, CA 94016"
141249,ThinkPad Laptop,1,999.99,01/08/21 17:31,"129 Forest St, Atlanta, GA 30301"
141250,iPhone,1,700.0,01/29/21 14:47,"929 Center St, Atlanta, GA 30301"
141251,AAA Batteries (4-pack),1,2.99,01/12/21 23:37,"47 Washington St, San Francisco, CA 94016"
141252,27in 4K Gaming Monitor,1,389.99,01/13/21 14:09,"261 9th St, Portland, OR 97035"
141253,AA Batteries (4-pack),2,3.84,01/21/21 10:20,"256 Jackson St, Los Angeles, CA 90001"
141254,USB-C Charging Cable,1,11.95,01/30/21 21:56,"555 Maple St, Portland, OR 97035"
141255,20in Monitor,1,109.99,01/07/21 08:48,"105 Lake St, Seattle, WA 98101"
141256,AAA Batteries (4-pack),1,2.99,01/28/21 17:14,"879 Wilson St, Seattle, WA 98101"
141257,Apple Airpods Headphones,1,150.0,01/08/21 00:32,"26 Chestnut St, Seattle, WA 98101"
141258,iPhone,1,700.0,01/23/21 12:52,"864 11th St, Los Angeles, CA 90001"
141259,AAA Batteries (4-pack),1,2.99,01/02/21 06:43,"217 North St, Dallas, TX 75001"
141260,Google Phone,1,600.0,01/09/21 19:14,"136 North St, San Francisco, CA 94016"
141260,USB-C Charging Cable,1,11.95,01/09/21 19:14,"136 North St, San Francisco, CA 94016"
141261,LG Dryer,1,600.0,01/28/21 14:58,"220 Hickory St, Dallas, TX 75001"
141262,Bose SoundSport Headphones,1,99.99,01/23/21 19:12,"512 Park St, Los Angeles, CA 90001"
141263,Apple Airpods Headphones,1,150.0,01/09/21 20:51,"647 Sunset St, Los Angeles, CA 90001"
141264,ThinkPad Laptop,1,999.99,01/28/21 22:14,"383 Church St, Dallas, TX 75001"
141265,USB-C Charging Cable,1,11.95,01/23/21 23:59,"884 Spruce St, Boston, MA 02215"
141266,AA Batteries (4-pack),1,3.84,01/06/21 19:18,"987 Center St, Boston, MA 02215"
141267,AAA Batteries (4-pack),1,2.99,01/14/21 11:56,"127 Jackson St, Austin, TX 73301"
141268,Flatscreen TV,1,300.0,01/03/21 11:16,"737 Walnut St, Portland, OR 97035"
141269,Wired Headphones,1,11.99,01/25/21 08:33,"592 Center St, Los Angeles, CA 90001"
141270,AA Batteries (4-pack),1,3.84,01/05/21 13:54,"107 Cedar St, San Francisco, CA 94016"
141271,Google Phone,1,600.0,01/30/21 18:02,"393 Church St, Seattle, WA 98101"
141272,USB-C Charging Cable,1,11.95,01/28/21 02:48,"946 Lakeview St, Atlanta, GA 30301"
141273,Bose SoundSport Headphones,1,99.99,01/12/21 11:02,"569 7th St, San Francisco, CA 94016"
141274,34in Ultrawide Monitor,1,379.99,01/23/21 13:04,"65 Pine St, Boston, MA 02215"
141275,USB-C Charging Cable,1,11.95,01/26/21 13:21,"869 Dogwood St, Boston, MA 02215"
141276,AAA Batteries (4-pack),1,2.99,01/21/21 13:00,"208 13th St, Los Angeles, CA 90001"
141277,USB-C Charging Cable,1,11.95,01/05/21 19:48,"266 Willow St, Boston, MA 02215"
141278,AAA Batteries (4-pack),1,2.99,01/12/21 14:06,"812 River St, Dallas, TX 75001"
141279,27in FHD Monitor,1,149.99,01/21/21 18:09,"735 Johnson St, Atlanta, GA 30301"
141280,20in Monitor,1,109.99,01/18/21 16:50,"354 Elm St, New York City, NY 10001"
141281,AA Batteries (4-pack),1,3.84,01/26/21 09:08,"565 12th St, Atlanta, GA 30301"
141282,Wired Headphones,1,11.99,01/08/21 17:33,"642 North St, Los Angeles, CA 90001"
141283,AA Batteries (4-pack),1,3.84,01/14/21 17:24,"441 Adams St, San Francisco, CA 94016"
141284,Lightning Charging Cable,1,14.95,01/23/21 18:08,"886 Hickory St, New York City, NY 10001"
141285,Lightning Charging Cable,1,14.95,01/21/21 18:55,"242 2nd St, Portland, OR 97035"
141286,iPhone,1,700.0,01/19/21 10:42,"177 West St, Austin, TX 73301"
141287,USB-C Charging Cable,1,11.95,01/18/21 19:03,"249 Ridge St, Los Angeles, CA 90001"
141288,USB-C Charging Cable,1,11.95,01/27/21 03:15,"622 Wilson St, San Francisco, CA 94016"
141289,Macbook Pro Laptop,1,1700.0,01/01/21 22:48,"311 Cherry St, New York City, NY 10001"
141290,AAA Batteries (4-pack),4,2.99,01/13/21 13:33,"990 Lake St, San Francisco, CA 94016"
141291,AAA Batteries (4-pack),1,2.99,01/15/21 20:59,"921 7th St, New York City, NY 10001"
141292,34in Ultrawide Monitor,1,379.99,01/15/21 12:16,"947 Hill St, San Francisco, CA 94016"
141293,AAA Batteries (4-pack),1,2.99,01/14/21 20:11,"445 Cherry St, New York City, NY 10001"
141294,AAA Batteries (4-pack),4,2.99,01/13/21 14:37,"876 4th St, San Francisco, CA 94016"
141295,Wired Headphones,1,11.99,01/17/21 01:41,"453 Sunset St, New York City, NY 10001"
141296,Bose SoundSport Headphones,1,99.99,01/07/21 18:28,"438 Wilson St, Austin, TX 73301"
141297,Wired Headphones,2,11.99,01/30/21 10:15,"158 6th St, Portland, OR 97035"
141298,27in FHD Monitor,1,149.99,01/07/21 07:14,"854 River St, Boston, MA 02215"
141299,Wired Headphones,1,11.99,01/20/21 21:45,"887 Jefferson St, Austin, TX 73301"
141300,Google Phone,1,600.0,01/07/21 15:47,"382 Jefferson St, New York City, NY 10001"
141300,Wired Headphones,1,11.99,01/07/21 15:47,"382 Jefferson St, New York City, NY 10001"
141301,Wired Headphones,2,11.99,01/25/21 19:27,"243 Madison St, Atlanta, GA 30301"
141302,Wired Headphones,1,11.99,01/21/21 00:26,"111 Maple St, San Francisco, CA 94016"
141303,AAA Batteries (4-pack),1,2.99,01/24/21 08:45,"628 Hill St, San Francisco, CA 94016"
141304,Lightning Charging Cable,1,14.95,01/06/21 15:56,"49 12th St, San Francisco, CA 94016"
141305,iPhone,1,700.0,01/15/21 09:37,"893 West St, Los Angeles, CA 90001"
141306,Wired Headphones,1,11.99,01/05/21 14:19,"40 Cherry St, San Francisco, CA 94016"
141307,20in Monitor,1,109.99,01/08/21 17:56,"970 9th St, Austin, TX 73301"
141308,Wired Headphones,2,11.99,01/09/21 10:54,"27 River St, Boston, MA 02215"
141309,iPhone,1,700.0,01/23/21 22:49,"698 2nd St, San Francisco, CA 94016"
141310,AA Batteries (4-pack),1,3.84,01/30/21 00:31,"701 Elm St, San Francisco, CA 94016"
141311,AA Batteries (4-pack),2,3.84,01/06/21 16:32,"978 Willow St, Boston, MA 02215"
141312,Google Phone,1,600.0,01/02/21 23:33,"636 Johnson St, Boston, MA 02215"
141313,Wired Headphones,1,11.99,01/24/21 13:38,"998 Chestnut St, Boston, MA 02215"
141314,AAA Batteries (4-pack),1,2.99,01/06/21 09:49,"260 Pine St, Boston, MA 02215"
141315,AAA Batteries (4-pack),1,2.99,01/20/21 20:56,"163 Lincoln St, Portland, OR 97035"
141316,Apple Airpods Headphones,1,150.0,01/23/21 21:45,"696 9th St, Boston, MA 02215"
141317,Lightning Charging Cable,1,14.95,01/08/21 10:45,"407 Hill St, San Francisco, CA 94016"
141318,AA Batteries (4-pack),1,3.84,01/24/21 13:40,"949 Main St, Atlanta, GA 30301"
141319,Wired Headphones,1,11.99,01/31/21 18:44,"307 4th St, San Francisco, CA 94016"
141320,USB-C Charging Cable,1,11.95,01/13/21 17:39,"834 Main St, Atlanta, GA 30301"
141321,AA Batteries (4-pack),1,3.84,01/03/21 23:45,"326 Jefferson St, Austin, TX 73301"
141322,Google Phone,1,600.0,01/18/21 16:25,"114 8th St, Dallas, TX 75001"
141323,27in FHD Monitor,1,149.99,01/18/21 23:06,"39 Cedar St, Portland, OR 97035"
141324,Apple Airpods Headphones,1,150.0,01/03/21 15:13,"723 7th St, San Francisco, CA 94016"
141325,Google Phone,1,600.0,01/20/21 16:25,"63 12th St, Boston, MA 02215"
141326,Lightning Charging Cable,2,14.95,01/07/21 09:32,"988 1st St, Los Angeles, CA 90001"
141327,USB-C Charging Cable,2,11.95,01/02/21 10:37,"831 Elm St, Seattle, WA 98101"
141328,Lightning Charging Cable,1,14.95,01/01/21 14:29,"289 Highland St, Austin, TX 73301"
141329,20in Monitor,1,109.99,01/14/21 18:06,"296 Madison St, Atlanta, GA 30301"
141330,Bose SoundSport Headphones,1,99.99,01/13/21 13:12,"1 Willow St, Los Angeles, CA 90001"
141331,Flatscreen TV,1,300.0,01/08/21 14:38,"368 12th St, New York City, NY 10001"
141332,AA Batteries (4-pack),1,3.84,01/25/21 00:55,"704 Madison St, Los Angeles, CA 90001"
141333,Apple Airpods Headphones,1,150.0,01/12/21 12:02,"176 5th St, Boston, MA 02215"
141334,Vareebadd Phone,1,400.0,01/22/21 21:12,"294 8th St, San Francisco, CA 94016"
141335,USB-C Charging Cable,1,11.95,01/28/21 13:06,"532 5th St, San Francisco, CA 94016"
141336,AA Batteries (4-pack),1,3.84,01/20/21 14:57,"978 Wilson St, San Francisco, CA 94016"
141337,USB-C Charging Cable,1,11.95,01/05/21 23:16,"355 River St, San Francisco, CA 94016"
141338,Bose SoundSport Headphones,1,99.99,01/11/21 19:44,"472 Cedar St, Los Angeles, CA 90001"
141339,Lightning Charging Cable,1,14.95,01/15/21 15:22,"28 Hickory St, Los Angeles, CA 90001"
141340,Wired Headphones,1,11.99,01/11/21 13:33,"487 10th St, Seattle, WA 98101"
141341,AA Batteries (4-pack),1,3.84,01/31/21 18:08,"128 Cherry St, Austin, TX 73301"
141342,USB-C Charging Cable,1,11.95,01/18/21 18:35,"718 Wilson St, San Francisco, CA 94016"
