Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
212785,Lightning Charging Cable,1,14.95,06/14/21 11:44,"860 Dogwood St, Los Angeles, CA 90001"
212786,AAA Batteries (4-pack),1,2.99,06/16/21 22:29,"279 Ridge St, New York City, NY 10001"
212787,Apple Airpods Headphones,1,150.0,06/16/21 02:52,"803 Johnson St, San Francisco, CA 94016"
212788,Macbook Pro Laptop,1,1700.0,06/23/21 19:36,"418 12th St, Los Angeles, CA 90001"
212789,AAA Batteries (4-pack),1,2.99,06/24/21 17:37,"944 Meadow St, San Francisco, CA 94016"
212790,27in FHD Monitor,1,149.99,06/20/21 20:20,"827 Adams St, San Francisco, CA 94016"
212791,AA Batteries (4-pack),2,3.84,06/19/21 16:00,"575 7th St, Portland, ME 04101"
212792,Wired Headphones,1,11.99,06/14/21 10:19,"156 Church St, New York City, NY 10001"
212793,AAA Batteries (4-pack),1,2.99,06/26/21 20:14,"920 Cedar St, Dallas, TX 75001"
212794,USB-C Charging Cable,1,11.95,06/03/21 16:14,"22 Jefferson St, Atlanta, GA 30301"
212795,20in Monitor,1,109.99,06/23/21 06:31,"452 Johnson St, San Francisco, CA 94016"
212796,Wired Headphones,2,11.99,06/30/21 21:37,"763 Maple St, Portland, ME 04101"
212797,AAA Batteries (4-pack),1,2.99,06/15/21 12:00,"845 Willow St, Atlanta, GA 30301"
212798,Flatscreen TV,1,300.0,06/12/21 10:14,"175 West St, Los Angeles, CA 90001"
212799,iPhone,1,700.0,06/29/21 08:20,"636 South St, Seattle, WA 98101"
212800,USB-C Charging Cable,1,11.95,06/21/21 22:42,"614 Maple St, Boston, MA 02215"
212801,Lightning Charging Cable,1,14.95,06/15/21 09:05,"683 River St, New York City, NY 10001"
212802,Google Phone,1,600.0,06/05/21 12:03,"473 Madison St, Boston, MA 02215"
212803,iPhone,1,700.0,06/26/21 07:25,"755 9th St, Atlanta, GA 30301"
212804,Apple Airpods Headphones,1,150.0,06/19/21 17:58,"173 2nd St, Los Angeles, CA 90001"
212805,AAA Batteries (4-pack),1,2.99,06/23/21 08:59,"719 Elm St, Portland, OR 97035"
212806,USB-C Charging Cable,1,11.95,06/24/21 17:50,"736 Elm St, New York City, NY 10001"
212807,iPhone,1,700.0,06/06/21 12:34,"163 Lincoln St, San Francisco, CA 94016"
212808,USB-C Charging Cable,1,11.95,06/20/21 11:13,"752 Wilson St, Los Angeles, CA 90001"
212809,Wired Headphones,1,11.99,06/04/21 10:59,"514 10th St, Atlanta, GA 30301"
212810,Lightning Charging Cable,1,14.95,06/22/21 21:33,"159 Elm St, San Francisco, CA 94016"
212811,USB-C Charging Cable,1,11.95,06/28/21 12:32,"135 Lake St, San Francisco, CA 94016"
212812,AAA Batteries (4-pack),3,2.99,06/11/21 10:13,"522 11th St, Los Angeles, CA 90001"
212813,Lightning Charging Cable,1,14.95,06/11/21 19:03,"821 Chestnut St, Boston, MA 02215"
212814,Google Phone,1,600.0,06/23/21 13:34,"797 Jefferson St, Los Angeles, CA 90001"
212815,Google Phone,1,600.0,06/12/21 12:35,"936 11th St, San Francisco, CA 94016"
212816,AA Batteries (4-pack),1,3.84,06/21/21 20:13,"247 Cherry St, Boston, MA 02215"
212817,AA Batteries (4-pack),2,3.84,06/28/21 11:59,"358 North St, New York City, NY 10001"
212818,Apple Airpods Headphones,1,150.0,06/13/21 16:42,"140 West St, Portland, OR 97035"
212819,27in FHD Monitor,1,149.99,06/30/21 03:58,"606 Cedar St, San Francisco, CA 94016"
212820,34in Ultrawide Monitor,1,379.99,06/01/21 12:40,"888 Cedar St, Seattle, WA 98101"
212821,27in 4K Gaming Monitor,1,389.99,06/24/21 21:47,"44 Washington St, Dallas, TX 75001"
212822,Bose SoundSport Headphones,1,99.99,06/05/21 11:26,"785 4th St, New York City, NY 10001"
212823,AA Batteries (4-pack),1,3.84,06/28/21 19:41,"461 South St, New York City, NY 10001"
212824,20in Monitor,1,109.99,06/30/21 14:14,"705 Elm St, San Francisco, CA 94016"
212825,Google Phone,1,600.0,06/26/21 00:34,"251 Chestnut St, Austin, TX 73301"
212826,Wired Headphones,1,11.99,06/18/21 04:52,"151 Jackson St, San Francisco, CA 94016"
212827,AAA Batteries (4-pack),2,2.99,06/01/21 18:06,"75 Church St, New York City, NY 10001"
212828,AA Batteries (4-pack),1,3.84,06/07/21 18:45,"989 6th St, Los Angeles, CA 90001"
212829,AA Batteries (4-pack),3,3.84,06/06/21 21:39,"368 12th St, Boston, MA 02215"
212830,ThinkPad Laptop,1,999.99,06/26/21 22:24,"701 Jefferson St, Boston, MA 02215"
212831,AAA Batteries (4-pack),1,2.99,06/05/21 21:12,"211 Madison St, Atlanta, GA 30301"
212832,AAA Batteries (4-pack),1,2.99,06/03/21 11:47,"919 South St, San Francisco, CA 94016"
212833,Apple Airpods Headphones,1,150.0,06/28/21 11:58,"640 Hill St, Atlanta, GA 30301"
212834,iPhone,1,700.0,06/23/21 19:58,"893 14th St, San Francisco, CA 94016"
212835,Wired Headphones,1,11.99,06/28/21 07:53,"960 Cherry St, Dallas, TX 75001"
212836,Apple Airpods Headphones,1,150.0,06/21/21 10:52,"932 12th St, San Francisco, CA 94016"
212837,Macbook Pro Laptop,1,1700.0,06/13/21 21:09,"153 Highland St, Los Angeles, CA 90001"
212838,AAA Batteries (4-pack),1,2.99,06/29/21 13:25,"404 10th St, San Francisco, CA 94016"
212839,Lightning Charging Cable,1,14.95,06/14/21 23:10,"926 Johnson St, San Francisco, CA 94016"
212840,AA Batteries (4-pack),1,3.84,06/29/21 13:08,"906 Dogwood St, Atlanta, GA 30301"
212841,Wired Headphones,1,11.99,06/23/21 16:04,"775 North St, Dallas, TX 75001"
