Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
165028,USB-C Charging Cable,1,11.95,03/13/21 19:36,"321 Johnson St, Atlanta, GA 30301"
165029,Wired Headphones,1,11.99,03/27/21 21:05,"831 Park St, San Francisco, CA 94016"
165030,AA Batteries (4-pack),1,3.84,03/18/21 18:31,"173 Main St, Boston, MA 02215"
165031,Wired Headphones,1,11.99,03/12/21 16:00,"837 8th St, Los Angeles, CA 90001"
165032,ThinkPad Laptop,1,999.99,03/28/21 22:43,"964 4th St, New York City, NY 10001"
165033,USB-C Charging Cable,1,11.95,03/13/21 14:11,"21 North St, Los Angeles, CA 90001"
165034,Bose SoundSport Headphones,1,99.99,03/15/21 17:00,"472 Johnson St, New York City, NY 10001"
165035,ThinkPad Laptop,1,999.99,03/10/21 20:07,"861 Park St, Atlanta, GA 30301"
165036,34in Ultrawide Monitor,1,379.99,03/19/21 15:30,"356 Center St, Los Angeles, CA 90001"
165037,AAA Batteries (4-pack),2,2.99,03/07/21 05:28,"199 1st St, Boston, MA 02215"
165038,USB-C Charging Cable,1,11.95,03/29/21 23:35,"871 Park St, San Francisco, CA 94016"
165039,AAA Batteries (4-pack),1,2.99,03/16/21 07:05,"678 Lincoln St, Seattle, WA 98101"
165040,AAA Batteries (4-pack),1,2.99,03/10/21 11:18,"773 South St, San Francisco, CA 94016"
165041,USB-C Charging Cable,1,11.95,03/11/21 06:04,"246 11th St, New York City, NY 10001"
165042,Flatscreen TV,1,300.0,03/30/21 10:32,"955 Lake St, New York City, NY 10001"
165043,AA Batteries (4-pack),1,3.84,03/17/21 13:30,"953 Madison St, Boston, MA 02215"
165044,27in 4K Gaming Monitor,1,389.99,03/27/21 11:49,"94 West St, Los Angeles, CA 90001"
165045,AA Batteries (4-pack),1,3.84,03/19/21 17:46,"851 12th St, New York City, NY 10001"
165046,AAA Batteries (4-pack),2,2.99,03/12/21 04:26,"248 Maple St, San Francisco, CA 94016"
165047,27in FHD Monitor,1,149.99,03/25/21 12:41,"911 5th St, San Francisco, CA 94016"
165048,Lightning Charging Cable,1,14.95,03/27/21 19:17,"864 Lincoln St, Los Angeles, CA 90001"
165049,27in FHD Monitor,1,149.99,03/27/21 09:36,"799 4th St, Los Angeles, CA 90001"
165050,USB-C Charging Cable,1,11.95,03/26/21 02:33,"40 Park St, Boston, MA 02215"
165051,AAA Batteries (4-pack),2,2.99,03/14/21 12:08,"329 South St, Los Angeles, CA 90001"
165052,AAA Batteries (4-pack),1,2.99,03/31/21 21:48,"250 Johnson St, Seattle, WA 98101"
165053,27in 4K Gaming Monitor,1,389.99,03/17/21 12:45,"751 Jefferson St, New York City, NY 10001"
165054,Vareebadd Phone,1,400.0,03/24/21 13:16,"505 7th St, Los Angeles, CA 90001"
165055,AAA Batteries (4-pack),6,2.99,03/08/21 13:00,"161 Johnson St, Portland, OR 97035"
165056,AAA Batteries (4-pack),1,2.99,03/12/21 18:23,"640 13th St, Atlanta, GA 30301"
165057,USB-C Charging Cable,1,11.95,03/21/21 22:48,"523 13th St, Boston, MA 02215"
165058,AA Batteries (4-pack),1,3.84,03/07/21 20:41,"861 Forest St, Los Angeles, CA 90001"
165059,Apple Airpods Headphones,1,150.0,03/28/21 20:53,"161 Cherry St, Los Angeles, CA 90001"
165060,AAA Batteries (4-pack),3,2.99,03/09/21 23:22,"144 1st St, Atlanta, GA 30301"
